Lugar;Espacialidade;"COD IBGE";"IDHM (2010)"
Brasil;País;--;0,727
"São Caetano do Sul (SP)";Município;354880;0,862
"Águas de São Pedro (SP)";Município;350060;0,854
"Florianópolis (SC)";Município;420540;0,847
"Balneário Camboriú (SC)";Município;420200;0,845
"Vitória (ES)";Município;320530;0,845
"Santos (SP)";Município;354850;0,840
"Niterói (RJ)";Município;330330;0,837
"Joaçaba (SC)";Município;420900;0,827
"Brasília (DF)";Município;530010;0,824
"Curitiba (PR)";Município;410690;0,823
"Jundiaí (SP)";Município;352590;0,822
"Valinhos (SP)";Município;355620;0,819
"Vinhedo (SP)";Município;355670;0,817
"Araraquara (SP)";Município;350320;0,815
"Santo André (SP)";Município;354780;0,815
"Santana de Parnaíba (SP)";Município;354730;0,814
"Nova Lima (MG)";Município;314480;0,813
"Ilha Solteira (SP)";Município;352044;0,812
"Americana (SP)";Município;350160;0,811
"Belo Horizonte (MG)";Município;310620;0,810
"Joinville (SC)";Município;420910;0,809
"São José (SC)";Município;421660;0,809
"Maringá (PR)";Município;411520;0,808
"São José dos Campos (SP)";Município;354990;0,807
"Blumenau (SC)";Município;420240;0,806
"Presidente Prudente (SP)";Município;354140;0,806
"Rio Fortuna (SC)";Município;421490;0,806
"Assis (SP)";Município;350400;0,805
"Campinas (SP)";Município;350950;0,805
"Porto Alegre (RS)";Município;431490;0,805
"São Bernardo do Campo (SP)";Município;354870;0,805
"São Carlos (SP)";Município;354890;0,805
"São Paulo (SP)";Município;355030;0,805
"Jaraguá do Sul (SC)";Município;420890;0,803
"Rio Claro (SP)";Município;354390;0,803
"Rio do Sul (SC)";Município;421480;0,802
"Bauru (SP)";Município;350600;0,801
"Pirassununga (SP)";Município;353930;0,801
"São Miguel do Oeste (SC)";Município;421720;0,801
"Botucatu (SP)";Município;350750;0,800
"Concórdia (SC)";Município;420430;0,800
"Ribeirão Preto (SP)";Município;354340;0,800
"Taubaté (SP)";Município;355410;0,800
"Vila Velha (ES)";Município;320520;0,800
"Goiânia (GO)";Município;520870;0,799
"Rio de Janeiro (RJ)";Município;330455;0,799
"Guaratinguetá (SP)";Município;351840;0,798
"Marília (SP)";Município;352900;0,798
"Sorocaba (SP)";Município;355220;0,798
"Fernandópolis (SP)";Município;351550;0,797
"São João da Boa Vista (SP)";Município;354910;0,797
"São José do Rio Preto (SP)";Município;354980;0,797
"Carlos Barbosa (RS)";Município;430480;0,796
"Itapema (SC)";Município;420830;0,796
"Tubarão (SC)";Município;421870;0,796
"Brusque (SC)";Município;420290;0,795
"Iomerê (SC)";Município;420757;0,795
"Itajaí (SC)";Município;420820;0,795
"Paulínia (SP)";Município;353650;0,795
"Treze Tílias (SC)";Município;421850;0,795
"Holambra (SP)";Município;351905;0,793
"Ipiranga do Sul (RS)";Município;431046;0,791
"Nova Odessa (SP)";Município;353340;0,791
"Quatro Pontes (PR)";Município;412085;0,791
"Saltinho (SP)";Município;354515;0,791
"Três Arroios (RS)";Município;432163;0,791
"Adamantina (SP)";Município;350010;0,790
"Chapecó (SC)";Município;420420;0,790
"Santa Cruz da Conceição (SP)";Município;354620;0,790
"Votuporanga (SP)";Município;355710;0,790
"Barretos (SP)";Município;350550;0,789
"Cândido Rodrigues (SP)";Município;351010;0,789
"Lagoa dos Três Cantos (RS)";Município;431127;0,789
"Luzerna (SC)";Município;421003;0,789
"Uberlândia (MG)";Município;317020;0,789
"Araçatuba (SP)";Município;350280;0,788
"Barra Bonita (SP)";Município;350530;0,788
"Caçapava (SP)";Município;350850;0,788
"Criciúma (SC)";Município;420460;0,788
"Cruzeiro (SP)";Município;351340;0,788
"Fernando de Noronha (PE)";Município;260545;0,788
"Indaiatuba (SP)";Município;352050;0,788
"Mairiporã (SP)";Município;352850;0,788
"Palmas (TO)";Município;172100;0,788
"Espírito Santo do Pinhal (SP)";Município;351518;0,787
"Itajubá (MG)";Município;313240;0,787
"Barueri (SP)";Município;350570;0,786
"Garibaldi (RS)";Município;430860;0,786
"Lins (SP)";Município;352710;0,786
"Pompéia (SP)";Município;354000;0,786
"Porto União (SC)";Município;421360;0,786
"Amparo (SP)";Município;350190;0,785
"Casca (RS)";Município;430490;0,785
"Catanduva (SP)";Município;351110;0,785
"Cuiabá (MT)";Município;510340;0,785
"Monte Aprazível (SP)";Município;353140;0,785
"Nova Araçá (RS)";Município;431280;0,785
"Piracicaba (SP)";Município;353870;0,785
"Tremembé (SP)";Município;355480;0,785
"Arujá (SP)";Município;350390;0,784
"Campo Grande (MS)";Município;500270;0,784
"Ivoti (RS)";Município;431080;0,784
"Jaguariúna (SP)";Município;352470;0,784
"Moji Mirim (SP)";Município;353080;0,784
"Ribeirão Pires (SP)";Município;354330;0,784
"Salto Veloso (SC)";Município;421540;0,784
"Santa Fé do Sul (SP)";Município;354660;0,784
"Santa Maria (RS)";Município;431690;0,784
"Timbó (SC)";Município;421820;0,784
"Horizontina (RS)";Município;430960;0,783
"Mogi das Cruzes (SP)";Município;353060;0,783
"Pinhalzinho (SC)";Município;421290;0,783
"Cascavel (PR)";Município;410480;0,782
"Caxias do Sul (RS)";Município;430510;0,782
"Cerquilho (SP)";Município;351150;0,782
"Lavras (MG)";Município;313820;0,782
"Pato Branco (PR)";Município;411850;0,782
"São Bento do Sul (SC)";Município;421580;0,782
"Águas da Prata (SP)";Município;350040;0,781
"Araras (SP)";Município;350330;0,781
"Bombinhas (SC)";Município;420245;0,781
"Caieiras (SP)";Município;350900;0,781
"Ijuí (RS)";Município;431020;0,781
"Lacerdópolis (SC)";Município;420920;0,781
"Maravilha (SC)";Município;421050;0,781
"Santa Bárbara D'Oeste (SP)";Município;354580;0,781
"Santo Amaro da Imperatriz (SC)";Município;421570;0,781
"Bebedouro (SP)";Município;350610;0,780
"Birigui (SP)";Município;350650;0,780
"Boituva (SP)";Município;350700;0,780
"Braço do Trombudo (SC)";Município;420285;0,780
"Cocal do Sul (SC)";Município;420425;0,780
"Corupá (SC)";Município;420450;0,780
"Cotia (SP)";Município;351300;0,780
"Franca (SP)";Município;351620;0,780
"Nova Petrópolis (RS)";Município;431320;0,780
"Orlândia (SP)";Município;353430;0,780
"Pomerode (SC)";Município;421320;0,780
"Salto (SP)";Município;354520;0,780
"Vista Alegre do Prata (RS)";Município;432360;0,780
"Andradina (SP)";Município;350210;0,779
"Piratininga (SP)";Município;353940;0,779
"Poços de Caldas (MG)";Município;315180;0,779
"Seara (SC)";Município;421750;0,779
"Bento Gonçalves (RS)";Município;430210;0,778
"Braço do Norte (SC)";Município;420280;0,778
"Itatiba (SP)";Município;352340;0,778
"Jaboticabal (SP)";Município;352430;0,778
"Jaú (SP)";Município;352530;0,778
"Juiz de Fora (MG)";Município;313670;0,778
"Lajeado (RS)";Município;431140;0,778
"Londrina (PR)";Município;411370;0,778
"Nova Bréscia (RS)";Município;431300;0,778
"Ourinhos (SP)";Município;353470;0,778
"Tietê (SP)";Município;355450;0,778
"Varginha (MG)";Município;317070;0,778
"Farroupilha (RS)";Município;430790;0,777
"Indaial (SC)";Município;420750;0,777
"Jacareí (SP)";Município;352440;0,777
"José Bonifácio (SP)";Município;352570;0,777
"Lagoa Santa (MG)";Município;313760;0,777
"Louveira (SP)";Município;352730;0,777
"Mafra (SC)";Município;421010;0,777
"Pinheiro Preto (SC)";Município;421300;0,777
"Sarandi (RS)";Município;432010;0,777
"Selbach (RS)";Município;432030;0,777
"Victor Graeff (RS)";Município;432320;0,777
"Araçoiaba da Serra (SP)";Município;350290;0,776
"Bragança Paulista (SP)";Município;350760;0,776
"Dracena (SP)";Município;351440;0,776
"Erechim (RS)";Município;430700;0,776
"Iracemápolis (SP)";Município;352140;0,776
"Itaú de Minas (MG)";Município;313375;0,776
"Jales (SP)";Município;352480;0,776
"Osasco (SP)";Município;353440;0,776
"Passo Fundo (RS)";Município;431410;0,776
"Pirapozinho (SP)";Município;353920;0,776
"Ceres (GO)";Município;520540;0,775
"Itapiranga (SC)";Município;420840;0,775
"Limeira (SP)";Município;352690;0,775
"Santa Rita do Passa Quatro (SP)";Município;354750;0,775
"Trombudo Central (SC)";Município;421860;0,775
"Viçosa (MG)";Município;317130;0,775
"Xanxerê (SC)";Município;421950;0,775
"Cruzália (SP)";Município;351330;0,774
"Francisco Beltrão (PR)";Município;410840;0,774
"Marau (RS)";Município;431180;0,774
"Marechal Cândido Rondon (PR)";Município;411460;0,774
"Massaranduba (SC)";Município;421060;0,774
"Mogi Guaçu (SP)";Município;353070;0,774
"Ouro (SC)";Município;421180;0,774
"Pedrinhas Paulista (SP)";Município;353715;0,774
"Pouso Alegre (MG)";Município;315250;0,774
"São José do Rio Pardo (SP)";Município;354970;0,774
"Siderópolis (SC)";Município;421760;0,774
"Treviso (SC)";Município;421835;0,774
"Araguari (MG)";Município;310350;0,773
"Auriflama (SP)";Município;350420;0,773
"Itu (SP)";Município;352390;0,773
"Matão (SP)";Município;352930;0,773
"Olímpia (SP)";Município;353390;0,773
"Paraí (RS)";Município;431400;0,773
"Pindamonhangaba (SP)";Município;353800;0,773
"Rio das Ostras (RJ)";Município;330452;0,773
"Santa Cruz do Sul (RS)";Município;431680;0,773
"Santana da Ponte Pensa (SP)";Município;354720;0,773
"Sebastianópolis do Sul (SP)";Município;355130;0,773
"Serra Alta (SC)";Município;421755;0,773
"Veranópolis (RS)";Município;432280;0,773
"Aratiba (RS)";Município;430090;0,772
"Araxá (MG)";Município;310400;0,772
"Monções (SP)";Município;353100;0,772
"Recife (PE)";Município;261160;0,772
"Sales Oliveira (SP)";Município;354490;0,772
"Santa Salete (SP)";Município;354765;0,772
"Santo Ângelo (RS)";Município;431750;0,772
"São Sebastião (SP)";Município;355070;0,772
"Uberaba (MG)";Município;317010;0,772
"Urussanga (SC)";Município;421900;0,772
"Ipatinga (MG)";Município;313130;0,771
"Itá (SC)";Município;420800;0,771
"Lajeado Grande (SC)";Município;420945;0,771
"Maracaí (SP)";Município;352880;0,771
"Poá (SP)";Município;353980;0,771
"Tupã (SP)";Município;355500;0,771
"Volta Redonda (RJ)";Município;330630;0,771
"Aracaju (SE)";Município;280030;0,770
"Armazém (SC)";Município;420150;0,770
"Lages (SC)";Município;420930;0,770
"Macatuba (SP)";Município;352800;0,770
"Montes Claros (MG)";Município;314330;0,770
"Oriente (SP)";Município;353410;0,770
"Ouroeste (SP)";Município;353475;0,770
"Presidente Castello Branco (SC)";Município;421390;0,770
"Santa Rosa de Viterbo (SP)";Município;354760;0,770
"Timóteo (MG)";Município;316870;0,770
"Vargem Grande Paulista (SP)";Município;355645;0,770
"Arroio do Meio (RS)";Município;430100;0,769
"Barbacena (MG)";Município;310560;0,769
"Campo Limpo Paulista (SP)";Município;350960;0,769
"Cosmópolis (SP)";Município;351280;0,769
"Garça (SP)";Município;351670;0,769
"Pedreira (SP)";Município;353710;0,769
"Santa Rosa (RS)";Município;431720;0,769
"São Carlos (SC)";Município;421600;0,769
"Schroeder (SC)";Município;421740;0,769
"Taboão da Serra (SP)";Município;355280;0,769
"Tupi Paulista (SP)";Município;355510;0,769
"Bilac (SP)";Município;350640;0,768
"Igarapava (SP)";Município;352010;0,768
"Lucas do Rio Verde (MT)";Município;510525;0,768
"Maracajá (SC)";Município;421040;0,768
"Monte Alto (SP)";Município;353130;0,768
"Nova Boa Vista (RS)";Município;431295;0,768
"Nova Veneza (SC)";Município;421160;0,768
"Palotina (PR)";Município;411790;0,768
"Regente Feijó (SP)";Município;354240;0,768
"Resende (RJ)";Município;330420;0,768
"São Luís (MA)";Município;211130;0,768
"São Marcos (RS)";Município;431900;0,768
"São Roque (SP)";Município;355060;0,768
"São Vicente (SP)";Município;355100;0,768
"Toledo (PR)";Município;412770;0,768
"Três Passos (RS)";Município;432190;0,768
"Avaré (SP)";Município;350450;0,767
"Capivari de Baixo (SC)";Município;420395;0,767
"Dois Vizinhos (PR)";Município;410720;0,767
"Encantado (RS)";Município;430680;0,767
"Estrela (RS)";Município;430780;0,767
"Novo Xingu (RS)";Município;431346;0,767
"Orindiúva (SP)";Município;353420;0,767
"Serra Negra (SP)";Município;355160;0,767
"Votorantim (SP)";Município;355700;0,767
"Alumínio (SP)";Município;350115;0,766
"Capivari do Sul (RS)";Município;430467;0,766
"Carazinho (RS)";Município;430470;0,766
"Catalão (GO)";Município;520510;0,766
"Cedral (SP)";Município;351130;0,766
"Ivatuba (PR)";Município;411160;0,766
"Lorena (SP)";Município;352720;0,766
"Mauá (SP)";Município;352940;0,766
"Nova Prata (RS)";Município;431330;0,766
"Parnamirim (RN)";Município;240325;0,766
"Pereira Barreto (SP)";Município;353740;0,766
"Peritiba (SC)";Município;421260;0,766
"Poloni (SP)";Município;353990;0,766
"Santiago (RS)";Município;431740;0,766
"São Simão (SP)";Município;355090;0,766
"Atibaia (SP)";Município;350410;0,765
"Colinas (RS)";Município;430558;0,765
"Espumoso (RS)";Município;430750;0,765
"Gaspar (SC)";Município;420590;0,765
"Guaporé (RS)";Município;430940;0,765
"Ibirubá (RS)";Município;431000;0,765
"Imbituba (SC)";Município;420730;0,765
"Ituverava (SP)";Município;352410;0,765
"Maricá (RJ)";Município;330270;0,765
"Não-Me-Toque (RS)";Município;431265;0,765
"Nova Erechim (SC)";Município;421140;0,765
"Nova Europa (SP)";Município;353290;0,765
"Patos de Minas (MG)";Município;314800;0,765
"São Domingos (SC)";Município;421610;0,765
"Suzano (SP)";Município;355250;0,765
"Arroio Trinta (SC)";Município;420160;0,764
"Cachoeira Paulista (SP)";Município;350860;0,764
"Cerro Largo (RS)";Município;430520;0,764
"Divinópolis (MG)";Município;312230;0,764
"Gramado (RS)";Município;430910;0,764
"Imbé (RS)";Município;431033;0,764
"Lençóis Paulista (SP)";Município;352680;0,764
"Macaé (RJ)";Município;330240;0,764
"Montauri (RS)";Município;431235;0,764
"Ouro Branco (MG)";Município;314590;0,764
"Paraíso do Tocantins (TO)";Município;171610;0,764
"Rondinha (RS)";Município;431620;0,764
"Rosana (SP)";Município;354425;0,764
"Santo Antônio do Palma (RS)";Município;431755;0,764
"São Valentim do Sul (RS)";Município;431971;0,764
"Videira (SC)";Município;421930;0,764
"Barra Funda (RS)";Município;430195;0,763
"Buritama (SP)";Município;350810;0,763
"Fagundes Varela (RS)";Município;430786;0,763
"Gabriel Monteiro (SP)";Município;351650;0,763
"Guararapes (SP)";Município;351820;0,763
"Guarulhos (SP)";Município;351880;0,763
"Itapetininga (SP)";Município;352230;0,763
"João Pessoa (PB)";Município;250750;0,763
"Medianeira (PR)";Município;411580;0,763
"Natal (RN)";Município;240810;0,763
"Paranavaí (PR)";Município;411840;0,763
"Ponta Grossa (PR)";Município;411990;0,763
"Presidente Venceslau (SP)";Município;354150;0,763
"São Domingos do Sul (RS)";Município;431805;0,763
"São Pedro do Butiá (RS)";Município;431937;0,763
"Boa Vista do Buricá (RS)";Município;430220;0,762
"David Canabarro (RS)";Município;430630;0,762
"Itapira (SP)";Município;352260;0,762
"Itupeva (SP)";Município;352400;0,762
"Mirassol (SP)";Município;353030;0,762
"Mococa (SP)";Município;353050;0,762
"Osvaldo Cruz (SP)";Município;353460;0,762
"Paraguaçu Paulista (SP)";Município;353550;0,762
"Saldanha Marinho (RS)";Município;431643;0,762
"Santa Cruz do Rio Pardo (SP)";Município;354640;0,762
"São Francisco do Sul (SC)";Município;421620;0,762
"São Joaquim da Barra (SP)";Município;354940;0,762
"Serranópolis do Iguaçu (PR)";Município;412635;0,762
"Sumaré (SP)";Município;355240;0,762
"Torres (RS)";Município;432150;0,762
"Alfenas (MG)";Município;310160;0,761
"Batatais (SP)";Município;350590;0,761
"Conselheiro Lafaiete (MG)";Município;311830;0,761
"Entre Rios do Oeste (PR)";Município;410753;0,761
"Iguaba Grande (RJ)";Município;330187;0,761
"Indiana (SP)";Município;352060;0,761
"Itapoá (SC)";Município;420845;0,761
"Nova Pádua (RS)";Município;431308;0,761
"Panambi (RS)";Município;431390;0,761
"Santa Rita D'Oeste (SP)";Município;354740;0,761
"São João do Oeste (SC)";Município;421625;0,761
"Sertãozinho (SP)";Município;355170;0,761
"Taió (SC)";Município;421780;0,761
"Umuarama (PR)";Município;412810;0,761
"Vila Maria (RS)";Município;432340;0,761
"Zortéa (SC)";Município;421985;0,761
"Araranguá (SC)";Município;420140;0,760
"Campinas do Sul (RS)";Município;430380;0,760
"Descalvado (SP)";Município;351370;0,760
"Estrela D'Oeste (SP)";Município;351520;0,760
"Frederico Westphalen (RS)";Município;430850;0,760
"Goiandira (GO)";Município;520850;0,760
"Itaara (RS)";Município;431053;0,760
"Jandira (SP)";Município;352500;0,760
"Modelo (SC)";Município;421090;0,760
"Porto Belo (SC)";Município;421350;0,760
"Rio Negro (PR)";Município;412230;0,760
"Santa Adélia (SP)";Município;354560;0,760
"Serafina Corrêa (RS)";Município;432040;0,760
"Sete Lagoas (MG)";Município;316720;0,760
"Taiúva (SP)";Município;355320;0,760
"Tapejara (RS)";Município;432090;0,760
"Tijucas (SC)";Município;421800;0,760
"Caraguatatuba (SP)";Município;351050;0,759
"Cornélio Procópio (PR)";Município;410640;0,759
"Gurupi (TO)";Município;170950;0,759
"Inúbia Paulista (SP)";Município;352080;0,759
"Iporã do Oeste (SC)";Município;420765;0,759
"Monte Alegre do Sul (SP)";Município;353120;0,759
"Nova Candelária (RS)";Município;431301;0,759
"Penápolis (SP)";Município;353730;0,759
"Presidente Getúlio (SC)";Município;421400;0,759
"Rio das Pedras (SP)";Município;354400;0,759
"Rubinéia (SP)";Município;354450;0,759
"Salvador (BA)";Município;292740;0,759
"Santo Antônio do Planalto (RS)";Município;431775;0,759
"São Lourenço (MG)";Município;316370;0,759
"Taquaral (SP)";Município;355365;0,759
"Três de Maio (RS)";Município;432180;0,759
"Várzea Paulista (SP)";Município;355650;0,759
"Álvares Machado (SP)";Município;350130;0,758
"Antônio Prado (RS)";Município;430080;0,758
"Colorado (RS)";Município;430560;0,758
"Cordeirópolis (SP)";Município;351240;0,758
"Faxinal dos Guedes (SC)";Município;420530;0,758
"Fernando Prestes (SP)";Município;351560;0,758
"Guabiju (RS)";Município;430925;0,758
"Herval D'Oeste (SC)";Município;420670;0,758
"Iguaraçu (PR)";Município;411000;0,758
"Itaúna (MG)";Município;313380;0,758
"João Monlevade (MG)";Município;313620;0,758
"Maripá (PR)";Município;411535;0,758
"Nova Londrina (PR)";Município;411710;0,758
"Nova Mutum (MT)";Município;510622;0,758
"Picada Café (RS)";Município;431442;0,758
"Piraju (SP)";Município;353880;0,758
"Piratuba (SC)";Município;421310;0,758
"Porto Feliz (SP)";Município;354060;0,758
"São João Del Rei (MG)";Município;316250;0,758
"São José dos Pinhais (PR)";Município;412550;0,758
"Águas de Santa Bárbara (SP)";Município;350055;0,757
"Cachoeirinha (RS)";Município;430310;0,757
"Campo Mourão (PR)";Município;410430;0,757
"Canoinhas (SC)";Município;420380;0,757
"Chapada (RS)";Município;430530;0,757
"Colina (SP)";Município;351200;0,757
"Diadema (SP)";Município;351380;0,757
"Dois Lajeados (RS)";Município;430645;0,757
"Estância Velha (RS)";Município;430760;0,757
"Gravatal (SC)";Município;420620;0,757
"Jataí (GO)";Município;521190;0,757
"Palhoça (SC)";Município;421190;0,757
"Pedro Leopoldo (MG)";Município;314930;0,757
"Piquete (SP)";Município;353850;0,757
"Presidente Bernardes (SP)";Município;354120;0,757
"Presidente Lucena (RS)";Município;431514;0,757
"Santa Rosa de Lima (SC)";Município;421560;0,757
"Santo Antônio do Aracanguá (SP)";Município;354805;0,757
"Vanini (RS)";Município;432255;0,757
"Vista Gaúcha (RS)";Município;432370;0,757
"Balneário Piçarras (SC)";Município;421280;0,756
"Bálsamo (SP)";Município;350480;0,756
"Contagem (MG)";Município;311860;0,756
"Cravinhos (SP)";Município;351310;0,756
"Fortaleza dos Valos (RS)";Município;430845;0,756
"Hortolândia (SP)";Município;351907;0,756
"Ilhabela (SP)";Município;352040;0,756
"Itabira (MG)";Município;313170;0,756
"Jambeiro (SP)";Município;352490;0,756
"Nova Castilho (SP)";Município;353286;0,756
"Passos (MG)";Município;314790;0,756
"Pirangi (SP)";Município;353900;0,756
"Quinze de Novembro (RS)";Município;431535;0,756
"Alto Bela Vista (SC)";Município;420075;0,755
"Aparecida (SP)";Município;350250;0,755
"Brodowski (SP)";Município;350780;0,755
"Cianorte (PR)";Município;410550;0,755
"Coronel Fabriciano (MG)";Município;311940;0,755
"Formiga (MG)";Município;312610;0,755
"Montenegro (RS)";Município;431240;0,755
"Orleans (SC)";Município;421170;0,755
"Pongaí (SP)";Município;354010;0,755
"Rondonópolis (MT)";Município;510760;0,755
"São José do Ouro (RS)";Município;431860;0,755
"São Ludgero (SC)";Município;421700;0,755
"São Pedro (SP)";Município;355040;0,755
"Saudades (SC)";Município;421730;0,755
"Analândia (SP)";Município;350200;0,754
"Boracéia (SP)";Município;350730;0,754
"Chapadão do Sul (MS)";Município;500295;0,754
"Constantina (RS)";Município;430580;0,754
"Corumbataí (SP)";Município;351270;0,754
"Cunhataí (SC)";Município;420475;0,754
"Esteio (RS)";Município;430770;0,754
"Flores da Cunha (RS)";Município;430820;0,754
"Fortaleza (CE)";Município;230440;0,754
"Guabiruba (SC)";Município;420630;0,754
"Lauro de Freitas (BA)";Município;291920;0,754
"Mongaguá (SP)";Município;353110;0,754
"Neves Paulista (SP)";Município;353250;0,754
"Praia Grande (SP)";Município;354100;0,754
"Registro (SP)";Município;354260;0,754
"Rio do Oeste (SC)";Município;421460;0,754
"Rio Verde (GO)";Município;521880;0,754
"Rodeio (SC)";Município;421510;0,754
"São Vendelino (RS)";Município;431975;0,754
"Sinop (MT)";Município;510790;0,754
"Vera Cruz (SP)";Município;355660;0,754
"Ajuricaba (RS)";Município;430020;0,753
"Congonhas (MG)";Município;311800;0,753
"Estação (RS)";Município;430755;0,753
"Forquilhinha (SC)";Município;420545;0,753
"Garopaba (SC)";Município;420570;0,753
"Guaíra (SP)";Município;351740;0,753
"Ipeúna (SP)";Município;352110;0,753
"João Neiva (ES)";Município;320313;0,753
"Magda (SP)";Município;352830;0,753
"Mangaratiba (RJ)";Município;330260;0,753
"Monte Azul Paulista (SP)";Município;353150;0,753
"Nicolau Vergueiro (RS)";Município;431267;0,753
"Nilópolis (RJ)";Município;330320;0,753
"Novo Horizonte (SP)";Município;353350;0,753
"Palmeira D'Oeste (SP)";Município;353520;0,753
"Rancho Queimado (SC)";Município;421430;0,753
"Salvador das Missões (RS)";Município;431647;0,753
"Santo Anastácio (SP)";Município;354770;0,753
"Tarumã (SP)";Município;355395;0,753
"Três Fronteiras (SP)";Município;355490;0,753
"Aracruz (ES)";Município;320060;0,752
"Araguaína (TO)";Município;170210;0,752
"Boa Vista (RR)";Município;140010;0,752
"Capinzal (SC)";Município;420390;0,752
"Enéas Marques (PR)";Município;410740;0,752
"Itumbiara (GO)";Município;521150;0,752
"Laguna (SC)";Município;420940;0,752
"Lucélia (SP)";Município;352740;0,752
"Marapoama (SP)";Município;352885;0,752
"Monte Belo do Sul (RS)";Município;431238;0,752
"Pranchita (PR)";Município;412035;0,752
"Primavera do Leste (MT)";Município;510704;0,752
"Severiano de Almeida (RS)";Município;432060;0,752
"Tatuí (SP)";Município;355400;0,752
"Três Marias (MG)";Município;316935;0,752
"Tunápolis (SC)";Município;421875;0,752
"Westfalia (RS)";Município;432377;0,752
"Xaxim (SC)";Município;421970;0,752
"Américo Brasiliense (SP)";Município;350170;0,751
"Bastos (SP)";Município;350580;0,751
"Cambuí (MG)";Município;311060;0,751
"Cataguases (MG)";Município;311530;0,751
"Catiguá (SP)";Município;351120;0,751
"Foz do Iguaçu (PR)";Município;410830;0,751
"Guaraciaba (SC)";Município;420640;0,751
"Guaramirim (SC)";Município;420650;0,751
"Guarujá (SP)";Município;351870;0,751
"Guaxupé (MG)";Município;312870;0,751
"Indiaporã (SP)";Município;352070;0,751
"Mandaguari (PR)";Município;411420;0,751
"Mirandópolis (SP)";Município;353010;0,751
"Nhandeara (SP)";Município;353260;0,751
"Osório (RS)";Município;431350;0,751
"Pinhais (PR)";Município;411915;0,751
"Planalto Alegre (SC)";Município;421315;0,751
"Porto Ferreira (SP)";Município;354070;0,751
"Rancharia (SP)";Município;354220;0,751
"Sales (SP)";Município;354480;0,751
"Sertão (RS)";Município;432050;0,751
"Tapiratiba (SP)";Município;355360;0,751
"Teresina (PI)";Município;221100;0,751
"Turiúba (SP)";Município;355520;0,751
"Ubatuba (SP)";Município;355540;0,751
"Água Santa (RS)";Município;430005;0,750
"Bariri (SP)";Município;350520;0,750
"Bom Despacho (MG)";Município;310740;0,750
"Campo Verde (MT)";Município;510267;0,750
"Canoas (RS)";Município;430460;0,750
"Capivari (SP)";Município;351040;0,750
"Cruz Alta (RS)";Município;430610;0,750
"Feliz (RS)";Município;430810;0,750
"Paranaguá (PR)";Município;411820;0,750
"Presidente Epitácio (SP)";Município;354130;0,750
"São João do Pau D'Alho (SP)";Município;354930;0,750
"Antônio Carlos (SC)";Município;420120;0,749
"Arcos (MG)";Município;310420;0,749
"Artur Nogueira (SP)";Município;350380;0,749
"Betim (MG)";Município;310670;0,749
"Campos do Jordão (SP)";Município;350970;0,749
"Carapicuíba (SP)";Município;351060;0,749
"Embu-Guaçu (SP)";Município;351510;0,749
"Harmonia (RS)";Município;430955;0,749
"Ipuã (SP)";Município;352130;0,749
"Laurentino (SC)";Município;420950;0,749
"Linha Nova (RS)";Município;431164;0,749
"Oscar Bressane (SP)";Município;353450;0,749
"Paraíso (SP)";Município;353570;0,749
"Pareci Novo (RS)";Município;431403;0,749
"Peruíbe (SP)";Município;353760;0,749
"Pirajuí (SP)";Município;353890;0,749
"Rio Grande da Serra (SP)";Município;354410;0,749
"São Lourenço do Oeste (SC)";Município;421690;0,749
"Terra Roxa (SP)";Município;355440;0,749
"União Paulista (SP)";Município;355570;0,749
"Xavantina (SC)";Município;421960;0,749
"Apucarana (PR)";Município;410140;0,748
"Arapongas (PR)";Município;410150;0,748
"Barão (RS)";Município;430165;0,748
"Barra do Garças (MT)";Município;510180;0,748
"Cabedelo (PB)";Município;250320;0,748
"Cafelândia (PR)";Município;410345;0,748
"Canela (RS)";Município;430440;0,748
"Duartina (SP)";Município;351450;0,748
"Ituporanga (SC)";Município;420850;0,748
"Miraselva (PR)";Município;411600;0,748
"Mondaí (SC)";Município;421100;0,748
"Nova Trento (SC)";Município;421150;0,748
"São João de Iracema (SP)";Município;354925;0,748
"São João do Polêsine (RS)";Município;431843;0,748
"Tanabi (SP)";Município;355340;0,748
"Taquaritinga (SP)";Município;355370;0,748
"Alto Alegre (RS)";Município;430055;0,747
"Astorga (PR)";Município;410210;0,747
"Brumadinho (MG)";Município;310900;0,747
"Cândido Mota (SP)";Município;351000;0,747
"Charqueadas (RS)";Município;430535;0,747
"Condor (RS)";Município;430570;0,747
"Confins (MG)";Município;311787;0,747
"Cordilheira Alta (SC)";Município;420435;0,747
"Dourados (MS)";Município;500370;0,747
"Elisiário (SP)";Município;351492;0,747
"Floreal (SP)";Município;351590;0,747
"General Salgado (SP)";Município;351690;0,747
"Governador Celso Ramos (SC)";Município;420600;0,747
"Ibitinga (SP)";Município;351960;0,747
"Iturama (MG)";Município;313440;0,747
"Jandaia do Sul (PR)";Município;411210;0,747
"Nova Aurora (GO)";Município;521480;0,747
"Nova Bassano (RS)";Município;431290;0,747
"Novo Hamburgo (RS)";Município;431340;0,747
"Ouvidor (GO)";Município;521550;0,747
"Pato Bragado (PR)";Município;411845;0,747
"Potirendaba (SP)";Município;354080;0,747
"Ribeirão do Sul (SP)";Município;354320;0,747
"Sananduva (RS)";Município;431660;0,747
"São José do Inhacorá (RS)";Município;431849;0,747
"Sud Mennucci (SP)";Município;355230;0,747
"Tapera (RS)";Município;432100;0,747
"Teutônia (RS)";Município;432145;0,747
